,date,ind,rain,ind.1,temp,ind.2,wetb,dewpt,vappr,rhum,msl
73487,2016-01-01 00:00:00,0,0,0,1.2,0,0.7,-0.2,6.0,90,1016.2
73488,2016-01-01 01:00:00,0,0,0,1.5,0,0.8,-0.7,5.8,85,1016.2
73489,2016-01-01 02:00:00,0,0,0,-0.2,0,-0.6,-1.3,5.6,92,1016.4
73490,2016-01-01 03:00:00,0,0,0,-0.7,0,-1.0,-1.4,5.5,95,1016.3
73491,2016-01-01 04:00:00,0,0,0,-0.3,0,-0.6,-1.2,5.6,94,1016.2
73492,2016-01-01 05:00:00,0,0,0,2.4,0,1.4,-0.3,6.0,82,1015.4
73493,2016-01-01 06:00:00,0,0,0,2.9,0,1.9,0.4,6.3,83,1014.6
73494,2016-01-01 07:00:00,0,0,0,2.5,0,1.8,0.7,6.4,88,1014.0
73495,2016-01-01 08:00:00,0,0,0,4.9,0,3.7,1.9,7.0,80,1013.0
73496,2016-01-01 09:00:00,0,0,0,6.3,0,5.0,3.3,7.7,81,1011.9
73497,2016-01-01 10:00:00,0,0,0,7.6,0,6.5,5.0,8.7,83,1011.0
73498,2016-01-01 11:00:00,0,0,0,7.8,0,6.6,5.1,8.8,83,1009.5
73499,2016-01-01 12:00:00,0,0,0,8.1,0,6.9,5.4,9.0,83,1007.9
73500,2016-01-01 13:00:00,0,0.7,0,7.2,0,6.8,6.3,9.6,93,1006.1
73501,2016-01-01 14:00:00,0,0.7,0,7.4,0,7.1,6.7,9.8,95,1004.0
73502,2016-01-01 15:00:00,0,0.5,0,7.8,0,7.5,7.2,10.2,95,1002.2
73503,2016-01-01 16:00:00,0,1,0,8.1,0,8.0,7.8,10.6,98,1001.2
73504,2016-01-01 17:00:00,0,1.8,0,8.5,0,8.2,7.9,10.7,96,1000.2
73505,2016-01-01 18:00:00,0,1.1,0,8.5,0,8.4,8.3,11.0,98,999.3
73506,2016-01-01 19:00:00,0,1.2,0,8.6,0,8.4,8.2,10.9,97,998.6
73507,2016-01-01 20:00:00,0,1.8,0,8.4,0,8.0,7.4,10.3,93,997.8
73508,2016-01-01 21:00:00,0,1.2,0,8.5,0,8.2,7.9,10.6,96,996.5
73509,2016-01-01 22:00:00,0,0.8,0,8.5,0,8.3,8.1,10.8,97,995.6
73510,2016-01-01 23:00:00,0,0.4,0,8.4,0,8.2,8.0,10.8,97,995.0
73511,2016-01-02 00:00:00,0,0.8,0,8.2,0,8.2,8.1,10.8,99,994.1
73512,2016-01-02 01:00:00,0,0.2,0,8.8,0,8.2,7.6,10.5,92,993.7
73513,2016-01-02 02:00:00,0,0.1,0,8.7,0,8.4,8.1,10.8,95,992.8
73514,2016-01-02 03:00:00,0,0.4,0,8.8,0,8.6,8.5,11.1,97,992.6
73515,2016-01-02 04:00:00,0,0.2,0,9.2,0,8.8,8.3,10.9,93,992.8
73516,2016-01-02 05:00:00,0,0,0,9.4,0,9.1,8.8,11.3,95,993.0
73517,2016-01-02 06:00:00,0,0.3,0,9.0,0,9.0,9.0,11.5,99,993.4
73518,2016-01-02 07:00:00,0,0.3,0,9.0,0,9.0,9.0,11.4,99,993.9
73519,2016-01-02 08:00:00,0,0.2,0,8.9,0,8.9,8.9,11.4,99,994.4
73520,2016-01-02 09:00:00,0,0.3,0,8.7,0,8.7,8.6,11.2,99,995.3
